,Date,Ball 1,Ball 2,Ball 3,Ball 4,Ball 5,Mega ball,Megaplier
341,Tuesday August 29th 2000,4,17,31,37,47,9,
342,Friday September 1st 2000,4,9,26,30,31,4,
343,Tuesday September 5th 2000,31,39,43,45,48,28,
344,Friday September 8th 2000,10,12,20,33,40,30,
345,Tuesday September 12th 2000,4,11,18,27,38,23,
346,Friday September 15th 2000,2,6,10,26,39,3,
347,Tuesday September 19th 2000,8,10,28,34,35,17,
348,Friday September 22nd 2000,6,11,26,28,36,6,
349,Tuesday September 26th 2000,2,13,31,41,44,3,
350,Friday September 29th 2000,8,10,30,32,40,18,
351,Tuesday October 3rd 2000,16,25,32,33,40,4,
352,Friday October 6th 2000,12,17,36,38,44,16,
353,Tuesday October 10th 2000,5,23,29,30,39,8,
354,Friday October 13th 2000,2,13,20,39,43,31,
355,Tuesday October 17th 2000,9,16,41,43,48,2,
356,Friday October 20th 2000,30,36,37,42,46,4,
357,Tuesday October 24th 2000,8,9,14,24,41,23,
358,Friday October 27th 2000,21,29,33,39,44,24,
359,Tuesday October 31st 2000,7,16,22,34,36,34,
360,Friday November 3rd 2000,5,15,22,23,43,23,
361,Tuesday November 7th 2000,22,29,35,38,47,27,
362,Friday November 10th 2000,26,32,39,40,46,18,
363,Tuesday November 14th 2000,12,14,25,31,37,22,
364,Friday November 17th 2000,5,8,20,38,46,3,
365,Tuesday November 21st 2000,15,25,28,40,46,17,
366,Friday November 24th 2000,20,21,32,39,46,2,
367,Tuesday November 28th 2000,15,18,30,48,49,8,
368,Friday December 1st 2000,15,25,28,38,47,5,
369,Tuesday December 5th 2000,4,8,30,46,48,1,
370,Friday December 8th 2000,23,27,29,43,45,30,
371,Tuesday December 12th 2000,1,14,28,38,47,24,
372,Friday December 15th 2000,25,30,39,40,50,8,
373,Tuesday December 19th 2000,12,34,36,39,40,16,
374,Friday December 22nd 2000,14,35,40,43,50,12,
375,Tuesday December 26th 2000,4,29,32,35,44,19,
376,Friday December 29th 2000,9,15,21,22,29,24,
377,Tuesday January 2nd 2001,7,8,11,12,13,12,
378,Friday January 5th 2001,1,3,9,40,42,32,
379,Tuesday January 9th 2001,4,24,35,44,48,32,
380,Friday January 12th 2001,6,15,23,26,50,6,
381,Tuesday January 16th 2001,7,8,13,35,50,28,
382,Friday January 19th 2001,4,6,16,31,36,19,
383,Tuesday January 23rd 2001,6,7,12,23,43,27,
384,Friday January 26th 2001,1,8,20,37,45,17,
385,Tuesday January 30th 2001,5,17,22,39,40,30,
386,Friday February 2nd 2001,6,23,25,30,31,5,
387,Tuesday February 6th 2001,5,17,32,34,48,5,
388,Friday February 9th 2001,1,12,14,16,22,26,
389,Tuesday February 13th 2001,30,31,35,46,47,23,
390,Friday February 16th 2001,9,10,24,30,31,35,
391,Tuesday February 20th 2001,9,32,37,42,46,13,
392,Friday February 23rd 2001,3,18,21,36,50,6,
393,Tuesday February 27th 2001,1,5,14,27,37,3,
394,Friday March 2nd 2001,13,23,24,25,42,22,
395,Tuesday March 6th 2001,2,24,26,31,41,34,
396,Friday March 9th 2001,2,10,12,15,27,17,
397,Tuesday March 13th 2001,11,17,38,41,42,24,
398,Friday March 16th 2001,14,22,38,42,43,10,
399,Tuesday March 20th 2001,11,30,39,41,43,34,
400,Friday March 23rd 2001,6,10,26,39,40,28,
401,Tuesday March 27th 2001,20,23,25,27,42,6,
402,Friday March 30th 2001,4,31,38,45,48,9,
403,Tuesday April 3rd 2001,4,5,25,39,45,14,
404,Friday April 6th 2001,4,9,10,16,45,30,
405,Tuesday April 10th 2001,17,22,27,32,42,33,
406,Friday April 13th 2001,16,27,36,39,47,12,
407,Tuesday April 17th 2001,4,12,14,24,44,21,
408,Friday April 20th 2001,2,5,11,32,36,24,
409,Tuesday April 24th 2001,1,4,27,29,31,5,
410,Friday April 27th 2001,3,6,30,38,44,12,
411,Tuesday May 1st 2001,4,13,15,16,25,19,
412,Friday May 4th 2001,11,24,27,35,47,22,
413,Tuesday May 8th 2001,19,21,29,31,50,25,
414,Friday May 11th 2001,11,12,19,21,26,19,
415,Tuesday May 15th 2001,7,14,19,24,43,30,
416,Friday May 18th 2001,7,19,30,38,41,5,
417,Tuesday May 22nd 2001,8,10,13,31,43,28,
418,Friday May 25th 2001,12,13,17,20,22,33,
419,Tuesday May 29th 2001,5,22,23,24,35,30,
420,Friday June 1st 2001,5,18,36,44,49,35,
421,Tuesday June 5th 2001,23,27,36,49,50,1,
422,Friday June 8th 2001,1,22,30,34,46,2,
423,Tuesday June 12th 2001,8,9,10,18,49,21,
424,Friday June 15th 2001,1,6,23,30,39,20,
425,Tuesday June 19th 2001,1,12,30,38,42,23,
426,Friday June 22nd 2001,5,21,37,43,50,34,
427,Tuesday June 26th 2001,1,2,7,22,44,34,
428,Friday June 29th 2001,5,9,12,28,48,5,
429,Tuesday July 3rd 2001,5,24,26,40,41,7,
430,Friday July 6th 2001,3,12,22,39,46,1,
431,Tuesday July 10th 2001,3,8,17,28,50,15,
432,Friday July 13th 2001,24,35,37,45,50,35,
433,Tuesday July 17th 2001,17,22,27,37,49,18,
434,Friday July 20th 2001,14,34,38,43,47,15,
435,Tuesday July 24th 2001,5,6,10,13,20,15,
436,Friday July 27th 2001,28,29,43,46,47,3,
437,Tuesday July 31st 2001,4,6,8,22,28,14,
438,Friday August 3rd 2001,4,11,21,41,44,2,
439,Tuesday August 7th 2001,5,28,31,35,47,19,
440,Friday August 10th 2001,4,12,35,36,42,6,
441,Tuesday August 14th 2001,1,22,27,28,35,26,
442,Friday August 17th 2001,1,9,16,28,46,24,
443,Tuesday August 21st 2001,4,11,14,45,49,29,
444,Friday August 24th 2001,2,10,23,26,38,26,
445,Tuesday August 28th 2001,10,29,39,47,50,35,
446,Friday August 31st 2001,4,7,8,12,38,16,
447,Tuesday September 4th 2001,26,29,32,33,43,36,
448,Friday September 7th 2001,11,18,31,37,46,16,
449,Tuesday September 11th 2001,3,11,33,41,49,21,
450,Friday September 14th 2001,2,21,27,28,45,3,
451,Tuesday September 18th 2001,11,14,18,33,48,22,
452,Friday September 21st 2001,1,30,34,36,50,3,
453,Tuesday September 25th 2001,7,13,29,32,48,3,
454,Friday September 28th 2001,1,9,16,21,25,14,
455,Tuesday October 2nd 2001,7,14,22,41,46,1,
456,Friday October 5th 2001,3,7,18,23,34,23,
457,Tuesday October 9th 2001,13,17,21,26,34,5,
458,Friday October 12th 2001,4,12,17,22,49,22,
459,Tuesday October 16th 2001,15,16,19,26,47,23,
460,Friday October 19th 2001,1,24,28,33,47,25,
461,Tuesday October 23rd 2001,24,32,34,38,46,2,
462,Friday October 26th 2001,16,19,22,26,45,9,
463,Tuesday October 30th 2001,7,9,29,46,49,33,
464,Friday November 2nd 2001,10,11,15,35,39,14,
465,Tuesday November 6th 2001,3,11,15,22,38,2,
466,Friday November 9th 2001,5,17,21,31,41,13,
467,Tuesday November 13th 2001,3,10,23,35,42,9,
468,Friday November 16th 2001,4,7,8,38,46,36,
469,Tuesday November 20th 2001,11,16,38,41,45,23,
470,Friday November 23rd 2001,3,4,38,42,49,31,
471,Tuesday November 27th 2001,1,22,25,43,46,10,
472,Friday November 30th 2001,7,8,20,21,42,5,
473,Tuesday December 4th 2001,17,21,22,24,30,7,
474,Friday December 7th 2001,5,6,13,20,46,15,
475,Tuesday December 11th 2001,18,22,24,32,47,2,
476,Friday December 14th 2001,6,27,28,29,42,36,
477,Tuesday December 18th 2001,3,12,29,37,47,16,
478,Friday December 21st 2001,3,16,18,19,43,9,
479,Tuesday December 25th 2001,20,29,34,35,48,23,
480,Friday December 28th 2001,21,29,30,32,42,20,
481,Tuesday January 1st 2002,16,24,39,45,50,36,
482,Friday January 4th 2002,7,12,24,34,37,35,
483,Tuesday January 8th 2002,14,17,25,32,46,30,
484,Friday January 11th 2002,4,5,21,24,38,21,
485,Tuesday January 15th 2002,4,8,32,41,49,20,
486,Friday January 18th 2002,1,2,9,26,27,6,
487,Tuesday January 22nd 2002,1,12,35,37,49,1,
488,Friday January 25th 2002,9,23,29,32,45,30,
489,Tuesday January 29th 2002,4,21,30,33,48,34,
490,Friday February 1st 2002,4,15,17,23,33,29,
491,Tuesday February 5th 2002,5,11,30,33,43,12,
492,Friday February 8th 2002,3,13,19,40,47,13,
493,Tuesday February 12th 2002,2,6,10,26,29,33,
494,Friday February 15th 2002,2,19,41,45,47,24,
495,Tuesday February 19th 2002,25,27,37,40,48,1,
496,Friday February 22nd 2002,4,11,37,40,44,9,
497,Tuesday February 26th 2002,6,19,22,40,44,27,
498,Friday March 1st 2002,13,17,37,49,50,36,
499,Tuesday March 5th 2002,2,13,15,21,46,3,
500,Friday March 8th 2002,13,15,31,36,49,18,
501,Tuesday March 12th 2002,4,8,20,29,47,5,
502,Friday March 15th 2002,5,10,22,34,45,2,
503,Tuesday March 19th 2002,17,28,31,35,37,7,
504,Friday March 22nd 2002,7,12,19,35,41,34,
505,Tuesday March 26th 2002,1,15,17,22,40,22,
506,Friday March 29th 2002,15,26,28,35,44,30,
507,Tuesday April 2nd 2002,34,37,38,39,42,21,
508,Friday April 5th 2002,8,21,35,47,50,15,
509,Tuesday April 9th 2002,1,15,17,21,41,4,
510,Friday April 12th 2002,6,13,14,17,41,6,
511,Tuesday April 16th 2002,7,10,25,26,27,23,
